dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,requested_ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.4,352.3004504138289,-10.374850021784027,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.5,332.0405953073026,-10.172251470718763,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,240.56850991294323,-9.224731113775862,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,222.3026173873919,-9.042072188520345,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.2,307.14947129717154,-9.890540727618143,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.3,539.7884987123929,-12.216931001770355,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.4,342.8417097174289,-10.247463111820716,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.5,428.082079964262,-11.099866814289046,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,245.04753714757715,-9.439181535043506,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,179.6516286972783,-8.785222450540518,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.2,389.72454338217386,-10.885951597389473,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.3,263.4094452414885,-9.622800615982618,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.4,335.3336800350694,-10.342042963918427,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.5,383.07742327835524,-10.819480396351286,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.05,195.73694030595678,-9.534127986639293,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.1,184.4877067412573,-9.409136502587078,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.2,242.35682777105225,-10.052126736251466,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.3,302.7664826566615,-10.723345123869345,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.4,270.7072945081931,-10.367131922219697,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.5,303.83655040422036,-10.73523476550889,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.05,184.72195520078503,-10.076710982824299,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.1,211.10884577331024,-10.369898655852355,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.2,229.66842211216093,-10.576116170728476,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.3,279.25635429802537,-11.127093195015856,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,6000,6000,100,90,15,Epsilon_Greedy,epsilon=0.4,336.5824928629246,-11.764050290181403,0.4
