feature_dim,config_id,epsilon,explore_traffic_ratio,final_regret_mean,final_regret_std,final_regret_cv,n_repeats,n_batches,shift_batch_index
30,epsilon=0.5,0.5,0.5,370.86594271200767,78.02700940683725,0.210391412153551,3,100,25
40,epsilon=0.5,0.5,0.5,419.755344425593,2.154775434401503,0.0051334079792364,3,100,25
50,epsilon=0.5,0.5,0.5,386.1516665120009,27.85116427040249,0.0721249360956388,3,100,25
75,epsilon=0.5,0.5,0.5,465.1063281689501,62.13408804152524,0.1335911473966335,3,100,25
100,epsilon=0.5,0.5,0.5,421.90831520804267,9.460803384894255,0.0224238372268845,3,100,25
150,epsilon=0.5,0.5,0.5,393.05847816663777,42.95499159913153,0.1092839716865761,3,100,25
200,epsilon=0.5,0.5,0.5,339.82213665093656,31.28044387744328,0.0920494591250669,3,100,25
300,epsilon=0.5,0.5,0.5,329.5070132460364,34.97730026492528,0.1061503969835337,3,100,25
400,epsilon=0.5,0.5,0.5,358.42698491728976,46.51971383379931,0.1297885365537813,3,100,25
500,epsilon=0.5,0.5,0.5,400.1143445721193,22.09615757761501,0.0552246073587902,3,100,25
