cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,78,1.9056885143756288,0.15053513441901945,1.7551533799566092,2.0562236487946484,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,79,1.921042228303575,0.14964375517218895,1.771398473131386,2.070685983475764,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,80,1.937466046759435,0.139698642317117,1.797767404442318,2.077164689076552,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,81,1.9510523477380668,0.12810300037490777,1.822949347363159,2.0791553481129745,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,82,1.954971819183787,0.130039571172764,1.824932248011023,2.0850113903565513,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,83,1.9674690082268669,0.12999181823511932,1.8374771899917475,2.0974608264619863,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,84,2.0174506605404474,0.16976977124497467,1.8476808892954728,2.187220431785422,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,85,2.031875013359057,0.179794927094379,1.8520800862646778,2.2116699404534357,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,86,2.053485023777542,0.18957881053427475,1.863906213243267,2.2430638343118168,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,87,2.0736729252398662,0.18680764158337176,1.8868652836564945,2.260480566823238,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,88,2.096402643476363,0.18960012182853833,1.9068025216478248,2.2860027653049015,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,89,2.114146338783734,0.19040619406407872,1.9237401447196552,2.3045525328478127,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,90,2.1196835219791894,0.18659588686318615,1.9330876351160033,2.3062794088423755,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,91,2.1298667761424093,0.18438215881631304,1.9454846173260962,2.314248934958722,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,92,2.158349059949462,0.169664660114679,1.9886843998347832,2.328013720064141,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,93,2.1920382190971726,0.19080894788091785,2.0012292712162547,2.3828471669780904,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,94,2.198691631222171,0.1945681871438018,2.0041234440783695,2.393259818365973,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,95,2.2415048745935193,0.16659260596750478,2.0749122686260146,2.408097480561024,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,96,2.2884306728126944,0.23667896965540808,2.0517517031572865,2.5251096424681023,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,97,2.331564220342625,0.279430092161594,2.052134128181031,2.6109943125042188,3
